frequency,raw,error,smoothed,error_smoothed,equalization,equalized_raw,equalized_smoothed,target
20.00,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
20.20,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
20.40,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
20.61,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
20.81,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
21.02,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
21.23,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
21.44,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
21.66,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
21.87,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
22.09,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
22.31,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
22.54,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
22.76,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
22.99,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
23.22,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
23.45,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
23.69,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
23.92,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
24.16,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
24.40,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
24.65,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
24.89,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
25.14,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
25.39,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
25.65,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
25.91,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
26.16,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
26.43,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
26.69,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
26.96,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
27.23,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
27.50,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
27.77,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
28.05,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
28.33,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
28.62,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
28.90,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
29.19,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
29.48,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
29.78,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
30.08,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
30.38,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
30.68,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
30.99,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
31.30,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
31.61,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
31.93,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
32.24,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
32.57,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
32.89,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
33.22,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
33.55,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
33.89,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
34.23,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
34.57,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
34.92,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
35.27,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
35.62,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
35.97,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
36.33,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
36.70,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
37.06,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
37.43,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
37.81,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
38.19,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
38.57,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
38.95,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
39.34,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
39.74,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
40.14,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
40.54,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
40.94,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
41.35,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
41.76,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
42.18,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
42.60,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
43.03,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
43.46,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
43.90,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
44.33,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
44.78,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
45.23,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
45.68,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
46.13,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
46.60,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
47.06,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
47.53,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
48.01,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
48.49,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
48.97,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
49.46,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
49.96,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
50.46,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
50.96,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
51.47,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
51.99,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
52.51,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
53.03,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
53.56,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
54.10,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
54.64,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
55.18,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
55.74,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
56.29,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
56.86,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
57.42,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
58.00,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
58.58,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
59.16,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
59.76,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
60.35,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
60.96,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
61.57,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
62.18,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
62.80,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
63.43,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
64.07,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
64.71,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
65.35,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
66.01,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
66.67,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
67.33,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
68.01,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
68.69,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
69.37,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
70.07,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
70.77,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
71.48,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
72.19,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
72.91,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
73.64,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
74.38,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
75.12,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
75.87,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
76.63,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
77.40,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
78.17,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
78.95,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
79.74,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
80.54,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
81.35,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
82.16,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
82.98,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
83.81,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
84.65,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
85.50,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
86.35,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
87.22,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
88.09,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
88.97,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
89.86,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
90.76,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
91.66,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
92.58,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
93.51,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
94.44,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
95.39,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
96.34,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
97.30,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
98.28,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
99.26,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
100.25,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
101.25,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
102.27,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
103.29,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
104.32,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
105.37,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
106.42,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
107.48,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
108.56,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
109.64,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
110.74,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
111.85,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
112.97,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
114.10,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
115.24,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
116.39,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
117.55,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
118.73,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
119.92,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
121.12,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
122.33,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
123.55,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
124.79,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
126.03,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
127.29,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
128.57,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
129.85,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
131.15,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
132.46,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
133.79,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
135.12,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
136.48,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
137.84,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
139.22,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
140.61,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
142.02,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
143.44,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
144.87,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
146.32,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
147.78,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
149.26,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
150.75,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
152.26,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
153.78,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
155.32,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
156.88,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
158.44,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
160.03,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
161.63,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
163.24,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
164.88,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
166.53,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
168.19,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
169.87,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
171.57,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
173.29,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
175.02,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
176.77,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
178.54,-17.49,-13.06,-17.49,-13.06,13.06,-4.43,-4.43,-4.43
